#Portfolio,RiskClass,RiskType,Quantile_0.010000,Quantile_0.050000,Quantile_0.950000,Quantile_0.990000
All,All,All,-51289756.272163,-36326719.179343,35902814.179343,50865851.272163
PF1,All,All,-50726701.680738,-35873450.367032,35826125.367033,50679376.680738
PF2,All,All,-6557270.718064,-4691503.443634,4314923.443634,6180690.718064
All,All,DeltaGamma,-51284547.347998,-36321605.147458,35907470.147459,50870412.347998
PF1,All,DeltaGamma,-50726701.680738,-35873450.367032,35826125.367033,50679376.680738
PF2,All,DeltaGamma,-6549787.396785,-4684781.290119,4317971.290119,6182977.396785
All,All,Vega,-186793.122369,-133503.869867,123733.869867,177023.122369
PF2,All,Vega,-186793.122369,-133503.869867,123733.869867,177023.122369
All,InterestRate,All,-37045288.673211,-26256329.410223,25824106.410223,36613065.673211
PF1,InterestRate,All,-36286970.228997,-25662864.686621,25621789.686621,36245895.228997
PF2,InterestRate,All,-6555841.721370,-4692626.884263,4301478.884263,6164693.721370
All,InterestRate,DeltaGamma,-37039765.323015,-26250923.048059,25828948.048060,36617790.323015
PF1,InterestRate,DeltaGamma,-36286970.228997,-25662864.686621,25621789.686621,36245895.228997
PF2,InterestRate,DeltaGamma,-6548404.873127,-4685867.575607,4304967.575607,6167504.873127
All,InterestRate,Vega,-176632.946638,-126390.090822,116142.090822,166384.946638
PF2,InterestRate,Vega,-176632.946638,-126390.090822,116142.090822,166384.946638
All,Inflation,All,-304149.096627,-215013.224331,215263.224331,304399.096627
PF1,Inflation,All,-304149.096627,-215013.224331,215263.224331,304399.096627
All,Inflation,DeltaGamma,-304149.096627,-215013.224331,215263.224331,304399.096627
PF1,Inflation,DeltaGamma,-304149.096627,-215013.224331,215263.224331,304399.096627
All,Credit,All,-608375.168374,-431106.185147,424606.185147,601875.168374
PF1,Credit,All,-608375.168374,-431106.185147,424606.185147,601875.168374
All,Credit,DeltaGamma,-608375.168374,-431106.185147,424606.185147,601875.168374
PF1,Credit,DeltaGamma,-608375.168374,-431106.185147,424606.185147,601875.168374
All,Equity,All,-2905.708677,-2028.127874,2208.127874,3085.708677
PF1,Equity,All,-324115.056396,-229166.854769,229166.854769,324115.056396
PF2,Equity,All,-324018.180057,-229071.992827,229251.992827,324198.180057
All,Equity,DeltaGamma,-2826.903898,-1972.994530,2148.994530,3002.903898
PF1,Equity,DeltaGamma,-324115.056396,-229166.854769,229166.854769,324115.056396
PF2,Equity,DeltaGamma,-324019.443256,-229073.471869,229249.471869,324195.443256
All,Equity,Vega,-689.090258,-486.638148,490.638148,693.090258
PF2,Equity,Vega,-689.090258,-486.638148,490.638148,693.090258
All,FX,All,-35377760.129718,-25011880.196187,25026268.196187,35392148.129718
PF1,FX,All,-35425700.127330,-25047883.817749,25047883.817749,35425700.127330
PF2,FX,All,-69381.369396,-46948.923048,61336.923048,83769.369396
All,FX,DeltaGamma,-35377945.204099,-25012080.481969,25025994.481969,35391859.204099
PF1,FX,DeltaGamma,-35425700.127330,-25047883.817749,25047883.817749,35425700.127330
PF2,FX,DeltaGamma,-39829.948999,-26123.900547,40037.900547,53743.948999
All,FX,Vega,-60382.869692,-42624.522782,43098.522782,60856.869692
PF2,FX,Vega,-60382.869692,-42624.522782,43098.522782,60856.869692
